method              ARI_fi  ARI_ru  ARI_de  F1_fi  F1_ru  F1_de
AggloM               0.581   0.026   0.492  0.674  0.643  0.695
AggloM_FiEnRu        0.631   0.037   0.485  0.731  0.636  0.639
WSD_GR               0.581   0.041   0.386  0.690  0.721  0.694
WSD_GR_FiEnRu        0.649   0.048   0.521  0.756  0.750  0.745
WSD_GR_Ru            0.568   0.053   0.464  0.568  0.750  0.724
WSD_GR_FiSG         0.638   0.059   0.543  0.752  0.729  0.758
WSI_agglomerative    0.209   0.259   0.316  0.055  0.152  0.042
cluster2sense        0.209   0.259   0.316  0.392  0.346  0.432
outlier2cluster_fi   0.649   0.047   0.480  0.756  0.747  0.745
outlier2cluster_ru   0.278   0.247   0.322  0.414  0.645  0.510
